,input
298,"As an Archivist, I want to specify the Source for a Name Form of an Agent and add new Sources and edit existing Sources.
"
299,"As a site visitor, I want to email news items to the editor, so that they can be considered for publication.
"
300,"As a repository manager, I want to indicate any license pertinent to an object. 
"
301,"As a dataset developer, I want to list all dataset instances that use a dataset type or a specific version of a type.
"
302,"As an OlderPerson, I want to use ALFRED to control the heating. 
"
303,"As a Data Consuming User, I want to be able to download an image ofa particular view state, So that I can use it offline.	
"
304,"As a researcher, I want to have the ability to attach standard meta data for behavioural observations (and video), so that my data can later be searched for and understood.
"
305,"As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.	
"
306,"As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.	
"
307,"As a developer, I want to know what the three initial hypotheses are, so that I can plan work around development of prototypes.
"
308,"As an OlderPerson, I want to have a small ALFRED device that is wearable and easy to carry with me.
"
309,"As an archivist, I want to manage loan documentation, including preservation photos, forms and correspondence, so that I can find it easily later.
"
310,"As an Archivist, I want to assign Location information to a Container.
"
311,"As a user, I want to access the raw agency published files from FABS via USAspending.
"
312,"As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. 
"
313,"As an OlderPerson, I want to have games that include my favourite sports. 
"
314,"As an API User, I want to be able to get a set of monetary measures transferred to different currencies, So that I can use this in scenarios that might enable comparison by normalisation.
"
315,"As a student, I want to upload to the repository the data that is associated with my embargoed dissertation to meet requirements of a DMP I submitted with my NSF DDIG.
"
316,"As a Researcher, working with data, I want an Microsoft Power BI integration, so that I can import datasets without downloading them locally.	
"
317,"As a CONNECT adopter, I want to define and implement a process for static code analysis to help improve the software with regards to software issues.	
"
318,"As a user, I want to identify brands in videos, and receive related information about them.	
"
319,"As a superuser, I want to reply to user questions, so that I can answer any questions about my recycling center.	
"
